OFFENSE,VIOLENT
TAMPERING WITH COIN MACHINES,0
TAMPERING WITH RECORDS,0
TELECOMMUNICATIONS FRAUD,0
TELEPHONE HARASS-ABUSE/THREATEN/ANNOY,0
TELEPHONE HARASS-FAIL TO DESIST,0
TELEPHONE HARASSMENT,0
TELEPHONE HARASSMENT - ANONYMOUS,0
THEFT,0
THEFT - BY INTIMIDATION,1
THEFT BY DECEPTION        M1F4,0
THEFT BY THREAT           M1F4,1
THEFT IN OFFICE,0
THEFT- BEYOND SCOPE OF CNSNT M1F4,0
THEFT- WITHOUT CONSENT     M1F4,0
UNATHORIZED USE OF CABLE DEVICE,0
UNAUTHORIZED USE OF MOTOR VEHICLE,0
UNAUTHORIZED USE OF MOTOR VEHICLE-JOY RIDING,0
UNAUTHORIZED USE OF PROPERTY,0
UNAUTHORIZED USE OF PROPERTY-GENERAL,0
UNLAWFUL RESTRAINT,1
UNLAWFUL SEXUAL CONDUCT WITH A MINOR,0
UNLAWFUL USE TELECOM DEVICE,0
VANDALISM,0
VANDALISM - GOVERNMENT ENTITY,0
VANDALISM - PROPERTY USED FOR BUSINESS > $500,0
VECHICULAR VANDALISM,0
VEHICULAR VANDALISM,0
VIOL PROT ORDER/CONSENT AGREE-2903-203/2903-204,0
VIOL PROT ORDER/CONSENT AGREE-2919-26/3113-31,0
VIOL PROT ORDER/CONSENT AGREE-OTHER STATE,0
VIOLATE PROTECTION ORDER/CONSENT AGREEMENT,0
VOLUNTARY MANSLAUGHTER,1
VOYEURISM,0
WIRE FRAUD,0
unkown,0
